,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
499,resnet,cifar-100,10,False,False,1.0,all_fgts,kl_div,-0.49525066703217174
500,resnet,cifar-100,10,False,False,1.0,all_transfers,prototypes_sim,-0.8938183366350427
501,resnet,cifar-100,10,False,False,1.0,all_transfers,entropy_ratio,0.89888726025915
502,resnet,cifar-100,10,False,False,1.0,all_transfers,wass_dist,-0.6157900308244226
503,resnet,cifar-100,10,False,False,1.0,all_transfers,subspace_overlap,-0.8963365020898321
504,resnet,cifar-100,10,False,False,1.0,all_transfers,task2vec_final_layer,0.9968952082208723
505,resnet,cifar-100,10,False,False,1.0,all_transfers,trace_overlap,0.4773396324643735
506,resnet,cifar-100,10,False,False,1.0,all_transfers,max_logit_ratio,-0.852254772613601
507,resnet,cifar-100,10,False,False,1.0,all_transfers,task2vec_all_layers,-0.47806572435181816
508,resnet,cifar-100,10,False,False,1.0,all_transfers,max_prob_ratio,-0.8394132819285025
509,resnet,cifar-100,10,False,False,1.0,all_transfers,kl_div,0.9725037655052379
510,resnet,cifar-100,10,False,False,2.0,all_cl_accs,prototypes_sim,-0.6904910182909226
511,resnet,cifar-100,10,False,False,2.0,all_cl_accs,entropy_ratio,-0.8354175750842204
512,resnet,cifar-100,10,False,False,2.0,all_cl_accs,wass_dist,0.9905694611302325
513,resnet,cifar-100,10,False,False,2.0,all_cl_accs,subspace_overlap,-0.9774163226179522
514,resnet,cifar-100,10,False,False,2.0,all_cl_accs,task2vec_final_layer,0.6582208687497716
515,resnet,cifar-100,10,False,False,2.0,all_cl_accs,trace_overlap,0.5738707170216012
516,resnet,cifar-100,10,False,False,2.0,all_cl_accs,max_logit_ratio,0.9995901514028404
517,resnet,cifar-100,10,False,False,2.0,all_cl_accs,task2vec_all_layers,-0.9086868685356209
518,resnet,cifar-100,10,False,False,2.0,all_cl_accs,max_prob_ratio,0.7861039185782599
519,resnet,cifar-100,10,False,False,2.0,all_cl_accs,kl_div,0.715400023263072
520,resnet,cifar-100,10,False,False,2.0,all_fgts,prototypes_sim,-0.8534204297335116
521,resnet,cifar-100,10,False,False,2.0,all_fgts,entropy_ratio,-0.7144154312484693
522,resnet,cifar-100,10,False,False,2.0,all_fgts,wass_dist,0.3441448939222388
523,resnet,cifar-100,10,False,False,2.0,all_fgts,subspace_overlap,-0.0009559561377345746
524,resnet,cifar-100,10,False,False,2.0,all_fgts,task2vec_final_layer,0.8753829430841125
525,resnet,cifar-100,10,False,False,2.0,all_fgts,trace_overlap,-0.6784771663028394
526,resnet,cifar-100,10,False,False,2.0,all_fgts,max_logit_ratio,0.18419498029117803
527,resnet,cifar-100,10,False,False,2.0,all_fgts,task2vec_all_layers,0.215090406044955
528,resnet,cifar-100,10,False,False,2.0,all_fgts,max_prob_ratio,-0.43715424196414965
529,resnet,cifar-100,10,False,False,2.0,all_fgts,kl_div,-0.5309453671952478
530,resnet,cifar-100,10,False,False,2.0,all_transfers,prototypes_sim,-0.6750650118013102
531,resnet,cifar-100,10,False,False,2.0,all_transfers,entropy_ratio,-0.49195022068697775
532,resnet,cifar-100,10,False,False,2.0,all_transfers,wass_dist,0.06981111344968552
533,resnet,cifar-100,10,False,False,2.0,all_transfers,subspace_overlap,0.2768399818074568
534,resnet,cifar-100,10,False,False,2.0,all_transfers,task2vec_final_layer,0.7066606476076094
535,resnet,cifar-100,10,False,False,2.0,all_transfers,trace_overlap,-0.8558270588863556
536,resnet,cifar-100,10,False,False,2.0,all_transfers,max_logit_ratio,-0.09605884267664384
